Player A,Player B,A Score,B Score,Winner
4,27,3,0,4
4,33,3,0,4
4,28,3,1,4
13,26,3,0,13
15,13,3,0,15
9,13,3,0,9
15,9,3,2,15
15,26,3,0,15
33,28,3,0,33
33,27,3,0,33
30,29,3,1,30
30,31,3,0,30
30,32,3,1,30
9,26,3,0,9
9,34,3,0,9
