Player A,PlayerB,A Score,B Score,Winner
5,23,3,0,5
4,2,3,0,4
5,4,3,0,5
18,21,0,3,21
13,12,3,0,13
8,15,3,0,8
24,25,3,0,24
21,13,3,0,21
8,24,0,3,24
21,24,0,3,24
